Team Home,Team Away,Result,Real
Udinese,Juventus,1–2,0
Udinese,Lazio,0–1,0
Udinese,Milan,1–2,0
Udinese,Napoli,1–2,0
Udinese,Roma,0–1,0
Udinese,Sampdoria,0–1,0
Udinese,Spezia,0–2,0
Udinese,Torino,0–1,0
Udinese,Atalanta,1–1,0.5
Udinese,Bologna,1–1,0.5
Udinese,Crotone,0–0,0.5
Udinese,Inter,0–0,0.5
Udinese,Fiorentina,1–0,1
Udinese,Genoa,1–0,1
Udinese,Verona,2–0,1
Udinese,Parma,3–2,1
Udinese,Sassuolo,2–0,1
Verona,Atalanta,0–2,0
Verona,Fiorentina,1–2,0
Verona,Inter,1–2,0
Verona,Lazio,0–1,0
Verona,Milan,0–2,0
Verona,Sampdoria,1–2,0
Verona,Sassuolo,0–2,0
Verona,Bologna,2–2,0.5
Verona,Cagliari,1–1,0.5
Verona,Genoa,0–0,0.5
Verona,Juventus,1–1,0.5
Verona,Spezia,1–1,0.5
Verona,Torino,1–1,0.5
Verona,Benevento,3–1,1
Verona,Crotone,2–1,1
Verona,Napoli,3–1,1
Verona,Parma,2–1,1
Verona,Roma,3–0,1
Verona,Udinese,1–0,1
