0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Bologna,Napoli,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67
Bologna,Milan,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38
Bologna,Inter,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06
Bologna,Roma,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05
Bologna,Juventus,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96
Bologna,Fiorentina,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65
Bologna,Udinese,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46
Bologna,Empoli,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,73.0,72.0,73.0,71.0,69.86,69.13,70.5,69.75
Bologna,Torino,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,81.0,78.0,79.0,76.0,73.2,72.3,72.14,72.62
Bologna,Verona,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,78.0,78.0,81.0,74.0,74.3,74.33,74.67,74.25
Bologna,Sassuolo,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,82.0,77.0,75.0,81.0,71.4,73.56,76.75,73.36
Bologna,Venezia,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,74.0,72.0,76.0,70.0,69.78,68.22,70.0,69.22
Bologna,Sampdoria,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,82.0,79.0,74.0,78.0,72.0,74.89,76.8,74.22
Bologna,Genoa,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,78.0,76.0,76.0,82.0,72.75,72.1,75.33,72.8
Bologna,Cagliari,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,80.0,77.0,80.0,81.0,70.13,71.4,76.5,71.88
Bologna,Salernitana,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15,74.0,73.0,73.0,73.0,66.8,67.88,69.67,67.79
Fiorentina,Napoli,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67
Fiorentina,Milan,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38
Fiorentina,Inter,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06
Fiorentina,Roma,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05
Fiorentina,Juventus,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96
Fiorentina,Bologna,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15
Fiorentina,Udinese,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46
Fiorentina,Empoli,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65,73.0,72.0,73.0,71.0,69.86,69.13,70.5,69.75
